EstName,PhoneNoEst,EMail,OWNER,MailAddr1,MailAddr2,MailCity,MailZip,EstType1,Description,Location 1
CEREAL REMIX,"98-1247 KAAHUMANU STREET, #109B",AIEA,,,"CEREAL REMIX, LLC",PO BOX 893846,96789,TAKE OUT (RESTAURANT),,"98-1247 KAAHUMANU STREET, #109B
AIEA, HAWAII 96789
(21.458460000228968, -158.010159999784)"
"CHAR SIU HOUSE, LLC",1134 MAUNAKEA STREET,HONOLULU,,,"CHAR SIU HOUSE, LLC",1134 MAUNAKEA STREET,96817,TAKE OUT (RESTAURANT),,"1134 MAUNAKEA STREET
HONOLULU, HAWAII 96817
(21.312690456035483, -157.86225477998377)"
CHEUNWEA LAO THAI FAST FOOD,"1120 MAUNAKEA STREET, #117",HONOLULU,,,MIKE VILAYVONG,"2015 LIME STREET, #802",96822,TAKE OUT (RESTAURANT),,"1120 MAUNAKEA STREET, #117
HONOLULU, HAWAII 96822
(21.312531683083648, -157.86244491603463)"
CHEESEBURGER FACTORY & STEAK & FISH CO.,"1450 ALA MOANA BOULEVARD, #1160X",HONOLULU,,,"PBHK, INC.","1450 ALA MOANA BOULEVARD, #1160X",96814,TAKE OUT (RESTAURANT),,"1450 ALA MOANA BOULEVARD, #1160X
HONOLULU, HAWAII 96814
(21.289311188287115, -157.8421921839348)"
CHOI'S KITCHEN,"2330 KALAKAUA AVENUE, #E",HONOLULU,,,KANG HYOK CHOI,888 4TH AVENUE,96816,TAKE OUT (RESTAURANT),,"2330 KALAKAUA AVENUE, #E
HONOLULU, HAWAII 96816
(21.277512083262707, -157.82709256706283)"
COMMON GROUNDZ COFFEE & SANDWICHES,"377 KEAHOLE STREET, #C5",HONOLULU,(808)394-8770,,"JS RESTAURANT, CORP.","377 KEAHOLE STREET, #C5",96825,TAKE OUT (RESTAURANT),,"377 KEAHOLE STREET, #C5
HONOLULU, HAWAII 96825
(21.285210279833507, -157.7090925235984)"
"COFFEE BEAN AND TEA LEAF, THE",227 LEWERS STREET,HONOLULU,(808)926-4951,,COFFEE PACIFIC LLC,"3536 HARDING AVENUE, #100",96816,TAKE OUT (RESTAURANT),,"227 LEWERS STREET
HONOLULU, HAWAII 96816
(21.279037461318318, -157.83102218381737)"
"CORNER KITCHEN, THE",477 KAPAHULU AVENUE,HONOLULU,(808)732-3217,mitch@pacificculinarygroup.com,"PACIFIC CULINARY GROUP, LLC","1777 ALA MOANA BOULEVARD, #111-16",96815,TAKE OUT (RESTAURANT),,"477 KAPAHULU AVENUE
HONOLULU, HAWAII 96815
(21.275839344288215, -157.81516755695432)"
"COFFEE BEAN & TEA LEAF KUHIO, THE",2370 KUHIO AVENUE,HONOLULU,(808)926-4410,,"COFFEE PACIFIC, LLC","3536 HARDING AVENUE, #100",96816,TAKE OUT (RESTAURANT),,"2370 KUHIO AVENUE
HONOLULU, HAWAII 96816
(21.278384425631145, -157.82488023487076)"
CONFERENCE ROOM #1 RESTAURANT,300 RODGERS BOULEVARD,HONOLULU,(808)836-2566,,HOST HONOLULU JOINT VENTURE COMPANY,300 RODGERS BOULEVARD,96819,TAKE OUT (RESTAURANT),,"300 RODGERS BOULEVARD
HONOLULU, HAWAII 96819
(21.335604930654792, -157.91871398519555)"
"COCONUT CAFÉ, LLC",2441 KUHIO AVENUE,HONOLULU,(808)922-8700,,GEORGE CHEN,2115 ALAELOA PLACE,96821,TAKE OUT (RESTAURANT),,"2441 KUHIO AVENUE
HONOLULU, HAWAII 96821
(21.276550480775857, -157.82346074116577)"
COFFEE & SMOOTHIE SHOP,140 PAUAHI STREET,HONOLULU,(808)741-2888,,AN TRONG LE,"111 NORTH BERETANIA STREET, #1401",96817,TAKE OUT (RESTAURANT),,"140 PAUAHI STREET
HONOLULU, HAWAII 96817
(21.313184194113163, -157.862335566502)"
CORAL CAFE,"1010 SOUTH KING STREET, LOBBY",HONOLULU,(808)225-2377,hawaiibecca@gmail.com,"HAWAII BECCA, LLC","1010 SOUTH KING STREET, LOBBY",96814,TAKE OUT (RESTAURANT),,"1010 SOUTH KING STREET, LOBBY
HONOLULU, HAWAII 96814
(21.301425261953426, -157.8484306535219)"
"COFFEE BEAN & TEA LEAF, THE",92-585 MAKAKILO DRIVE,KAPOLEI,(808)672-8819,,"COFFEE PACIFIC, LLC","3536 HARDING AVENUE, #100",96816,TAKE OUT (RESTAURANT),,"92-585 MAKAKILO DRIVE
KAPOLEI, HAWAII 96816
(21.347713160869887, -158.0815107691518)"
"COFFEE BEAN & TEA LEAF, THE",3206 MONSARRAT AVENUE,HONOLULU,(808)734-1160,,"COFFEE PCAIFIC, LLC","3536 HARDING AVENUE, #100",96816,TAKE OUT (RESTAURANT),,"3206 MONSARRAT AVENUE
HONOLULU, HAWAII 96816
(21.269598049404863, -157.8110666485007)"
CORAL KINGDOM RESTAURANT,49-132 KAMEHAMEHA HIGHWAY,KANEOHE,(808)239-4800,,PAUL S. K. YIP,49-132 KAMEHAMEHA HIGHWAY,96744,TAKE OUT (RESTAURANT),,"49-132 KAMEHAMEHA HIGHWAY
KANEOHE, HAWAII 96744
(21.506386176257283, -157.8559530350872)"
"COFFEE BEAN & TEA LEAF, THE #3017 ALA MOANA MAUKA",1450 ALA MOANA BOULEVARD,HONOLULU,(808)341-2383,,COFFEE PACIFIC LLC,"3536 HARDING AVENUE, #100",96816,TAKE OUT (RESTAURANT),,"1450 ALA MOANA BOULEVARD
HONOLULU, HAWAII 96816
(21.289311188287115, -157.8421921839348)"
"COFFEE BEAN & TEA LEAF #3082, THE","3536 HARDING AVENUE, 3RD FLOOR",HONOLULU,(808)735-7377,,"COFFEE PACIFIC, LLC","3536 HARDING AVENUE, #100",96816,TAKE OUT (RESTAURANT),,"3536 HARDING AVENUE, 3RD FLOOR
HONOLULU, HAWAII 96816
(21.281720910359866, -157.80098524855225)"
CITY CAFÉ,1518F MAKALOA STREET,HONOLULU,(808)256-9898,,"CITY CAFÉ, LLC",PO BOX 37573,96837,TAKE OUT (RESTAURANT),,"1518F MAKALOA STREET
HONOLULU, HAWAII 96837
(21.29372138779177, -157.84189444104933)"
CK'S DELIGHT'S @GROCERY / 529 DISPATCH,747 AMANA STREET,HONOLULU,,shimabukurow@hotmail.com,"HEAVENLY UNITED, LLC",3019 KAMAKINI STREET,96816,TAKE OUT (RESTAURANT),,"747 AMANA STREET
HONOLULU, HAWAII 96816
(21.293699879790097, -157.8404025330965)"
COFFEE BEAN & TEA LEAF 3005,"1450 ALA MOANA BOULEVARD, #1103",HONOLULU,(808)949-4514,,COFFEE PACIFIC,"3536 HARDING AVENUE, #100",96816,TAKE OUT (RESTAURANT),,"1450 ALA MOANA BOULEVARD, #1103
HONOLULU, HAWAII 96816
(21.289311188287115, -157.8421921839348)"
DANTE'S THE MUFFIN MAN,"444 NUI STREET, 2ND FLOOR #6",HONOLULU,(808)282-0727,,WENDY LEMONT,"444 NUI STREET, #714",96815,TAKE OUT (RESTAURANT),,"444 NUI STREET, 2ND FLOOR #6
HONOLULU, HAWAII 96815
(21.28673013406302, -157.8325424585604)"
DEAN'S DRIVE INN,45-773 KAMEHAMEHA HIGHWAY,KANEOHE,(808)247-1300,,"DEAN'S DRIVE INN, LLC","46-1032 EMEPELA WAY, #135",96744,TAKE OUT (RESTAURANT),,"45-773 KAMEHAMEHA HIGHWAY
KANEOHE, HAWAII 96744
(21.41024227099993, -157.79897435727773)"
COSTCO WHOLESALE FOOD COURT,94-1231 KA UKA BOULEVARD,WAIPAHU,(808)678-6310,,COSTCO WHOLESALE CORP.,999 LAKE DRIVE,98027,TAKE OUT (RESTAURANT),,"94-1231 KA UKA BOULEVARD
WAIPAHU, WASHINGTON 98027
(47.52139000034839, -122.03966000040856)"
CURRY HOUSE COCO ICHIBANYA,1960 KAPIOLANI BOULEVARD,HONOLULU,(808)949-4107,,"COCO ICHI HAWAII, INC.",1960 KAPIOLANI BOULEVARD,96814,TAKE OUT (RESTAURANT),,"1960 KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96814
(21.29061606868839, -157.8359681560344)"
CURRY KING,"1050 ALA MOANA BOULEVARD, #1400",HONOLULU,(808)591-8855,,SHANE YANG / JUDY LAM,"1050 ALA MOANA BOULEVARD, #1400",96814,TAKE OUT (RESTAURANT),,"1050 ALA MOANA BOULEVARD, #1400
HONOLULU, HAWAII 96814
(21.29416752724535, -157.85568201437428)"
DA KOOK'S CREATION,"1120 MAUNAKEA STREET, #123",HONOLULU,,annaleoncio@yahoo.com,ANNABEL L. DUPREYIRAOLA,"2452 TUSITALA STREET, #1203",96815,TAKE OUT (RESTAURANT),,"1120 MAUNAKEA STREET, #123
HONOLULU, HAWAII 96815
(21.312531683083648, -157.86244491603463)"
DIAMOND  HEAD TERMINAL GATE 7/8 ISLAND BREWS AND QUIZNOS,300 RODGERS BOULEVARD,HONOLULU,(808)836-2566,,HOST HONOLULU JOINT VENTURE COMPANY,300 RODGERS BOULEVARD,96819,TAKE OUT (RESTAURANT),,"300 RODGERS BOULEVARD
HONOLULU, HAWAII 96819
(21.335604930654792, -157.91871398519555)"
COSTCO WHOLESALE #120 (FOOD COURT),333A KEAHOLE STREET,HONOLULU,(808)396-5538,,COSTCO WHOLESALE CORP.,333A KEAHOLE STREET,96825,TAKE OUT (RESTAURANT),,"333A KEAHOLE STREET
HONOLULU, HAWAII 96825
(21.284967462885618, -157.70966808969715)"
DAIRY QUEEN/ORANGE JULIUS,1050 ALA MOANA BOULEVARD,HONOLULU,,,"HDQ, INC.",1050 ALA MOANA BOULEVARD,96814,TAKE OUT (RESTAURANT),,"1050 ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.29416752724535, -157.85568201437428)"
CREPE HOUSE,"2490 KALAKAUA AVENUE, #6",HONOLULU,(808)922-2201,,"CREPE HOUSE UNI HAWAII, INC.",PO BOX 48,96810,TAKE OUT (RESTAURANT),,"2490 KALAKAUA AVENUE, #6
HONOLULU, HAWAII 96810
(21.274127968223183, -157.82404524610345)"
CURRY HOUSE COCO ICHIBANYA,1450 ALA MOANA BOULEVARD,HONOLULU,(808)947-4889,,"COCO ICHI HAWAII, INC.",C/O 1009 UNIVERSITY AVENUE,96826,TAKE OUT (RESTAURANT),,"1450 ALA MOANA BOULEVARD
HONOLULU, HAWAII 96826
(21.289311188287115, -157.8421921839348)"
DA KONA BEAN CAFÉ,700 NORTH NIMITZ HIGHWAY,HONOLULU,(808)535-6514,,"POMARE, LTD.",700 NORTH NIMITZ HIGHWAY,96817,TAKE OUT (RESTAURANT),,"700 NORTH NIMITZ HIGHWAY
HONOLULU, HAWAII 96817
(21.313754761043526, -157.87168095327553)"
COUNTRY STORE,56-800 KAMEHAMEHA HIGHWAY,KAHUKU,(808)372-7522,,"KAHUKU FARMS, INC.",PO BOX 36,96731,TAKE OUT (RESTAURANT),,"56-800 KAMEHAMEHA HIGHWAY
KAHUKU, HAWAII 96731
(21.685639732983944, -157.9629246489074)"
DAIRY QUEEN / ORANGE JULIUS ALA MOANA,"1450 ALA MOANA BOULEVARD, #1075",HONOLULU,,,"EVEREST, INC.","1450 ALA MOANA BOULEVARD, #1075",96814,TAKE OUT (RESTAURANT),,"1450 ALA MOANA BOULEVARD, #1075
HONOLULU, HAWAII 96814
(21.289311188287115, -157.8421921839348)"
DA SPOT,"2469 SOUTH KING STREET, #2A",HONOLULU,,,AHMAD RAMADAN,"2469 SOUTH KING STREET, #2A",96826,TAKE OUT (RESTAURANT),,"2469 SOUTH KING STREET, #2A
HONOLULU, HAWAII 96826
(21.292674652676737, -157.82416077724733)"
COSTCO WHOLESALE #687 FOOD COURT,525 ALAKAWA STREET,HONOLULU,,,COSTCO WHOLESALE CORP.,999 LAKE DRIVE,98027,TAKE OUT (RESTAURANT),,"525 ALAKAWA STREET
HONOLULU, WASHINGTON 98027
(47.52139000034839, -122.03966000040856)"
"DELI, THE","212 MERCHANT STREET, #6",HONOLULU,(808)533-1677,212meddeli@earthlink.net,HISAKO TAKAGI,"1022 PROSPECT STREET, #801",96822,TAKE OUT (RESTAURANT),,"212 MERCHANT STREET, #6
HONOLULU, HAWAII 96822
(21.30734138888641, -157.86130533345838)"
CREPES NO KA 'OI,131 HEKILI STREET,KAILUA,,crepesnokaoi@yahoo.com,"CREPES NO KAI 'OI, LLC",131 HEKILI STREET,96734,TAKE OUT (RESTAURANT),,"131 HEKILI STREET
KAILUA, HAWAII 96734
(21.392049736914373, -157.74199871665047)"
DIEM 99 CAFÉ,"1151 MAPUNAPUNA STREET, #W2",HONOLULU,(808)834-0438,,HUYNH LE,"1151 MAPUNAPUNA STREET, #W-2",96819,TAKE OUT (RESTAURANT),,"1151 MAPUNAPUNA STREET, #W2
HONOLULU, HAWAII 96819
(21.346795852399964, -157.89636734297983)"
DOH CAFETERIA & CATERING,1250 PUNCHBOWL STREET,HONOLULU,,,NORMZ,"954 AKIPO LANE, #10",96817,TAKE OUT (RESTAURANT),,"1250 PUNCHBOWL STREET
HONOLULU, HAWAII 96817
(21.307112761765914, -157.85548759632928)"
DOLE PLANTATION,64-1550 KAMEHAMEHA HIGHWAY,WAHIAWA,(808)621-8408,,CASTLE & COOKE PROPERTIES,64-1550 KAMEHAMEHA HIGHWAY,96786,TAKE OUT (RESTAURANT),,"64-1550 KAMEHAMEHA HIGHWAY
WAHIAWA, HAWAII 96786
(21.525655800049527, -158.0384202420807)"
DOMINO'S PIZZA,"26 HO'OLAI STREET, #800",KAILUA,(808)625-3800,baypizzainc@sbcglobal.net,"POSSO PIZZA, INC.",95-026 KUAHELANI AVENUE,96789,TAKE OUT (RESTAURANT),,"26 HO'OLAI STREET, #800
KAILUA, HAWAII 96789
(21.39447790639349, -157.74475064206013)"
DIAMOND HEAD TERMINAL GATE 12 BURGER KING,300 RODGERS BOULEVARD,HONOLULU,,,HOST HONOLULU JOINT VENTURE COMPANY,300 RODGERS BOULEVARD,96819,TAKE OUT (RESTAURANT),,"300 RODGERS BOULEVARD
HONOLULU, HAWAII 96819
(21.335604930654792, -157.91871398519555)"
DIAMOND HEAD TERMINAL BAGGAGE CLAIM 5 SNACK BAR,300 RODGERS BOULEVARD,HONOLULU,,,HOST HONOLULU JOINT VENTURE COMPANY,300 RODGERS BOULEVARD,96819,TAKE OUT (RESTAURANT),,"300 RODGERS BOULEVARD
HONOLULU, HAWAII 96819
(21.335604930654792, -157.91871398519555)"
DIAMOND HEAD MARKET AND GRILL,3158 MONSARRAT AVENUE,HONOLULU,(808)732-0077,,KELVIN RO,3158 MONSARRAT AVENUE,96815,TAKE OUT (RESTAURANT),,"3158 MONSARRAT AVENUE
HONOLULU, HAWAII 96815
(21.269499123981632, -157.81161523493859)"
DOMINO'S PIZZA #8010,3298 CAMPBELL AVENUE,HONOLULU,(808)737-0888,,"POSSO PIZZA, INC.",3298 CAMPBELL AVENUE,96815,TAKE OUT (RESTAURANT),,"3298 CAMPBELL AVENUE
HONOLULU, HAWAII 96815
(21.277920228704645, -157.81341657263474)"
DONBURIYA,1450 ALA MOANA BOULEVARD,HONOLULU,(808)944-3618,,AVANTI GROUP LTD.,"1585 KAPIOLANI BOULEVARD, #1238",96814,TAKE OUT (RESTAURANT),,"1450 ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.289311188287115, -157.8421921839348)"
DIEM CAFÉ,1050 ALA MOANA BOULEVARD,HONOLULU,(808)593-2493,,NGON KIM TRINH / ALEX BINH TANG,1050 ALA MOANA BOULEVARD,96814,TAKE OUT (RESTAURANT),,"1050 ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.29416752724535, -157.85568201437428)"
DIEGO'S TACOS,2239 SOUTH KING STREET,HONOLULU,(808)949-2239,,"DIEGO'S TACOS ON KING, LLC",2239 SOUTH KING STREET,96826,TAKE OUT (RESTAURANT),,"2239 SOUTH KING STREET
HONOLULU, HAWAII 96826
(21.29375742180481, -157.82720571104795)"
DOWNTOWN COFFEE HONOLULU,"900 FORT STREET MALL, #100",HONOLULU,(808)599-5353,fhokada@me.com,"DOWNTOWN COFFEE HONOLULU, LLC","900 FORT STREET MALL, #100",96813,TAKE OUT (RESTAURANT),,"900 FORT STREET MALL, #100
HONOLULU, HAWAII 96813
(21.309024327169368, -157.86246290247522)"
DOMO RESTAURANT,"46-028 KAWA STREET, #A-3",KANEOHE,,,U YOUNG OH,"46-028 KAWA STREET, #A-3",96744,TAKE OUT (RESTAURANT),,"46-028 KAWA STREET, #A-3
KANEOHE, HAWAII 96744
(21.41820614565033, -157.80322559724053)"
DONER SHACK,80 SOUTH PAUAHI STREET,HONOLULU,(808)228-4410,,"HO SHOOTS, LLC","500 ALA MOANA BLVD., BLDG 5, #400",96813,TAKE OUT (RESTAURANT),,"80 SOUTH PAUAHI STREET
HONOLULU, HAWAII 96813
(21.31054995466125, -157.86050312977943)"
DIEGO'S TACO SHOP,"719 KAMEHAMEHA HIGHWAY, #A102",PEARL CITY,(808)456-7578,,DANTE & ELIZABETH DAUZ,"719 KAMEHAMEHA HIGHWAY, #A102",96782,TAKE OUT (RESTAURANT),,"719 KAMEHAMEHA HIGHWAY, #A102
PEARL CITY, HAWAII 96782
(21.39192827513374, -157.9652402128501)"
EMPLOYEE CAFETERIA (KAMAAINA CAFE),300 RODGERS BOULEVARD,HONOLULU,,,HOST HONOLULU JOINT VENTURE COMPANY,300 RODGERS BOULEVARD,96819,TAKE OUT (RESTAURANT),,"300 RODGERS BOULEVARD
HONOLULU, HAWAII 96819
(21.335604930654792, -157.91871398519555)"
FAMILY SUSHI HOUSE,"1020 KEEAUMOKU STREET, #100",HONOLULU,,,"FAMILY SUSHI HOUSE, INC.","1020 KEEAUMOKU STREET, #100",96814,TAKE OUT (RESTAURANT),,"1020 KEEAUMOKU STREET, #100
HONOLULU, HAWAII 96814
(21.299041852644166, -157.84003381106447)"
DRIVER'S DINER,"3006 UALENA STREET, #A",HONOLULU,(808)375-3994,,JULITA'S LLC,"3006 UALENA STREET, #A",96819,TAKE OUT (RESTAURANT),,"3006 UALENA STREET, #A
HONOLULU, HAWAII 96819
(21.333620784670757, -157.9081124886825)"
DROP IN CAFÉ,"25 KANEOHE BAY DRIVE, #510",KAILUA,,,"ONO DOG, LLC","98-487 KOAUKA LOOP, #1602B",96701,TAKE OUT (RESTAURANT),,"25 KANEOHE BAY DRIVE, #510
KAILUA, HAWAII 96701
(21.42335513675431, -157.74963396067923)"
EZOGIKU #3,98-020 KAMEHAMEHA HIGHWAY,AIEA,,,"WIN FATT 88, INC.",98-020 KAMEHAMEHA HIGHWAY,96701,TAKE OUT (RESTAURANT),,"98-020 KAMEHAMEHA HIGHWAY
AIEA, HAWAII 96701
(21.385896505143275, -157.95126377341774)"
ELITE CATERING,4369 LAWEHANA STREET,HONOLULU,(808)422-8113,elitecateringhi@aol.com,"ELITE CATERING, INC.",4369 LAWEHANA STREET,96818,TAKE OUT (RESTAURANT),,"4369 LAWEHANA STREET
HONOLULU, HAWAII 96818
(21.354583981173732, -157.92899474620282)"
ELIM FASTFOOD,"655 KEEAUMOKU STREET, #104",HONOLULU,(808)428-1959,,D AND YOUNG CORPORATION,1600 KAPIOLANI BOULEVARD #1030,96814,TAKE OUT (RESTAURANT),,"655 KEEAUMOKU STREET, #104
HONOLULU, HAWAII 96814
(21.294904971309393, -157.84174252292013)"
ETHEL'S GRILL,232 KALIHI STREET,HONOLULU,,,RYOKO ISHII,232 KALIHI STREET,96819,TAKE OUT (RESTAURANT),,"232 KALIHI STREET
HONOLULU, HAWAII 96819
(21.32225335422038, -157.8840556243987)"
DUK LEE CHINESE RESTAURANT,2919 KAPIOLANI BOULEVARD,HONOLULU,(808)735-5378,,NELSON LEE & YI JUN LI,2919 KAPIOLANI BOULEVARD,96814,TAKE OUT (RESTAURANT),,"2919 KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96814
(21.29250046711256, -157.84122311321215)"
EN FUEGO GRILL & POKE,"590 FARRINGTON HIGHWAY, C-1 #534",KAPOLEI,(808)674-8805,,"EN FUEGO, LLC.","3075 ALA POHA PLACE, #406",96818,TAKE OUT (RESTAURANT),,"590 FARRINGTON HIGHWAY, C-1 #534
KAPOLEI, HAWAII 96818
(21.33845913718835, -158.0784440810319)"
FAT BOY'S KEEAUMOKU,"919 KEEAUMOKU STREET, #A101AB",HONOLULU,(808)942-2322,carrollung@fatboyshawaii.com,"FATBOY'S KEEAUMOKU, LLC","919 KEEAUMOKU STREET, #A101AB",96814,TAKE OUT (RESTAURANT),,"919 KEEAUMOKU STREET, #A101AB
HONOLULU, HAWAII 96814
(21.2976029373973, -157.84057340428205)"
EDIBLE ARRANGEMENTS,"1164 BISHOP STREET, #120",HONOLULU,(808)585-5922,,"HONU ENTERPRISES, LLC","1164 BISHOP STREET, #120",96813,TAKE OUT (RESTAURANT),,"1164 BISHOP STREET, #120
HONOLULU, HAWAII 96813
(21.310139486485696, -157.8592793024915)"
EZOGIKU NOODLE CAFÉ,850 KAMEHAMEHA HIGHWAY,PEARL CITY,,,"EZOGIKU, INC.",2146 KALAKAUA AVENUE,96815,TAKE OUT (RESTAURANT),,"850 KAMEHAMEHA HIGHWAY
PEARL CITY, HAWAII 96815
(21.393561568504953, -157.96894995843172)"
EDWARD'S CAFE,"444 KANEKAPOLEI STREET, #C-4",HONOLULU,(808)923-5577,,"EDWARDS CAFE, LLC","7007 HAWAII KAI DRIVE, #A14",96825,TAKE OUT (RESTAURANT),,"444 KANEKAPOLEI STREET, #C-4
HONOLULU, HAWAII 96825
(21.27894200528931, -157.82337836708183)"
EASY TO GO RESTAURANT,1763 HOE STREET,HONOLULU,(808)489-3156,,DONG HOON KIM,1763 HOE STREET,96819,TAKE OUT (RESTAURANT),,"1763 HOE STREET
HONOLULU, HAWAII 96819
(21.322667042353885, -157.88627694981108)"
D'S KITCHEN,830 MAPUNAPUNA STREET,HONOLULU,(808)834-6918,,ACAA INC.,"91-1181 KEONEULA BOULEVARD, #2A3",96706,TAKE OUT (RESTAURANT),,"830 MAPUNAPUNA STREET
HONOLULU, HAWAII 96706
(21.34161575751125, -157.8996228887259)"
ELIM BAR B Q TAKE OUT,91-919 FORT WEAVER ROAD,EWA BEACH,(808)689-4828,,KI SUK KIM,3368 HARDESTY STREET,96816,TAKE OUT (RESTAURANT),,"91-919 FORT WEAVER ROAD
EWA BEACH, HAWAII 96816
(21.317352049160718, -158.01342309831352)"
FAMILY BBQ,550 PAIEA STREET,HONOLULU,,,"FAMILY BBQ, INC.",550 PAIEA STREET,96819,TAKE OUT (RESTAURANT),,"550 PAIEA STREET
HONOLULU, HAWAII 96819
(21.33537799766228, -157.9148924972305)"
FORT STREET MALL CAFE,1152 FORT STREET,HONOLULU,(808)536-0455,,UT THI NGUYEN,1152 FORT STREET,96813,TAKE OUT (RESTAURANT),,"1152 FORT STREET
HONOLULU, HAWAII 96813
(21.307950203053714, -157.86440720184268)"
FRIEND'S KOREAN BBQ/ISLAND BURGER,94-144 FARRINGTON HIGHWAY,WAIPAHU,(808)677-4688,,MESUIL INC.,"2440 DATE STREET, #102",96826,TAKE OUT (RESTAURANT),,"94-144 FARRINGTON HIGHWAY
WAIPAHU, HAWAII 96826
(21.29155999999415, -157.8275200003476)"
"FRESH CATCH, LLC",3109 WAIALAE AVENUE,HONOLULU,(808)864-3889,freshcatch808@aol.com,"FRESH CATCH, LLC",P O BOX 4660,96744,TAKE OUT (RESTAURANT),,"3109 WAIALAE AVENUE
HONOLULU, HAWAII 96744
(21.288321510691297, -157.81011581368506)"
FIRST HAWAIIAN BANK CENTER LUNCHROOM,999 BISHOP STREET,HONOLULU,,,FIRST HAWAIIAN BANK,999 BISHOP STREET,96813,TAKE OUT (RESTAURANT),,"999 BISHOP STREET
HONOLULU, HAWAII 96813
(21.308376815308293, -157.86159056010678)"
FOO SING CHINESE BBQ RESTAURANT,41-037 WAILEA STREET,WAIMANALO,(808)259-0808,,LIANG ZHONG YU,41-037 WAILEA STREET,96795,TAKE OUT (RESTAURANT),,"41-037 WAILEA STREET
WAIMANALO, HAWAII 96795
(21.333723462679384, -157.69651807015737)"
FAT BURGER,1932 LILIHA STREET,HONOLULU,(808)548-4400,,DONNY YUN,1932 LILIHA STREET,96817,TAKE OUT (RESTAURANT),,"1932 LILIHA STREET
HONOLULU, HAWAII 96817
(21.325382994882375, -157.8552773194611)"
GALILEE SEAFOOD MART,102 NORTH HOTEL STREET,HONOLULU,(808)550-8868,,"GALILEE, INC.",102 NORTH HOTEL STREET,96817,TAKE OUT (RESTAURANT),,"102 NORTH HOTEL STREET
HONOLULU, HAWAII 96817
(21.312405777999572, -157.8628586041681)"
FRESH & NATURAL PRINCE KUHIO CAFE,"300 ALA MOANA BOULEVARD, 5TH FLOOR",HONOLULU,(808)521-7337,,"AYK, LLC","300 ALA MOANA BOULEVARD, 5TH FLOOR",96813,TAKE OUT (RESTAURANT),,"300 ALA MOANA BOULEVARD, 5TH FLOOR
HONOLULU, HAWAII 96813
(21.304194967872036, -157.86297551603192)"
"FAT GREEK EXPRESS, THE",1450 ALA MOANA BOULEVARD,HONOLULU,(808)949-2120,,"GREEN APPLE GROUP, INC.",3766 PAKI AVENUE,96814,TAKE OUT (RESTAURANT),,"1450 ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.289311188287115, -157.8421921839348)"
FIVE & TWO BENTOS,"1450 ALA MOANA BOULEVARD, #2250",HONOLULU,(808)428-1073,,FIVE & TWO CORP.,91-1007 NAHAWELE STREET,96706,TAKE OUT (RESTAURANT),,"1450 ALA MOANA BOULEVARD, #2250
HONOLULU, HAWAII 96706
(21.289311188287115, -157.8421921839348)"
FENDU BOULANGERIE,"2752 WOODLAWN DRIIVE, #5-119",HONOLULU,(808)354-0736,fendu@clearwire.net,STEAM TUBE PRODUCTIONS,"2752 WOODLAWN DRIIVE, #5-119",96822,TAKE OUT (RESTAURANT),,"2752 WOODLAWN DRIIVE, #5-119
HONOLULU, HAWAII 96822
(21.30753646622156, -157.80978878181884)"
"FUKUYA, INC.",2710 SOUTH KING STREET,HONOLULU,,,"FUKUYA, INC.",2710 SOUTH KING STREET,96826,TAKE OUT (RESTAURANT),,"2710 SOUTH KING STREET
HONOLULU, HAWAII 96826
(21.290920974719597, -157.82017678065753)"
"FRESH GARDEN DELI, THE",212 MERCHANT STREET,HONOLULU,,,"KIHO ENTERPRISES, LLC","212 MERCHANT STREET, #9",96813,TAKE OUT (RESTAURANT),,"212 MERCHANT STREET
HONOLULU, HAWAII 96813
(21.30734138888641, -157.86130533345838)"
FATBOY'S KAILUA,301-A HAHANI STREET,KAILUA,,,"FATBOY'S KAILUA, LLC",301-A HAHANI STREET,96734,TAKE OUT (RESTAURANT),,"301-A HAHANI STREET
KAILUA, HAWAII 96734
(21.393290801314777, -157.7404249030992)"
FATTY'S CHINESE KITCHEN,2345 KUHIO AVENUE,HONOLULU,,,"FATTY'S CHINESE FAST FOOD, LTD.","1610 KALANI STREET, #2",96815,TAKE OUT (RESTAURANT),,"2345 KUHIO AVENUE
HONOLULU, HAWAII 96815
(21.278780127324012, -157.82542882130863)"
FATBOY'S WAIPIO,94-1221 KA UKA BOULEVARD,WAIPAHU,(808)680-7520,,"FATBOY'S GROUP, INC.",94-1221 KA UKA BOULEVARD,96797,TAKE OUT (RESTAURANT),,"94-1221 KA UKA BOULEVARD
WAIPAHU, HAWAII 96797
(21.42693132800557, -158.0018802114578)"
FROSTCITY,"2570 SOUTH BERETANIA STREET, #105, 106",HONOLULU,(808)947-3328,luckyknots@gmail.com,"TSANG'S CO., INC. (S-CORPORATION)",2407 ROOKE AVENUE,96817,TAKE OUT (RESTAURANT),,"2570 SOUTH BERETANIA STREET, #105, 106
HONOLULU, HAWAII 96817
(21.324720000327943, -157.859919999808)"
